session_label,row_type,timestamp,trust_score,ema_trust_score,trust_band,signal_missing_count,final_band_raw_majority,final_band_ema,band_disagreement
test_01,summary,2026-07-11T20:01:42.727711+00:00,,,,,,,False
test_01,sample,2026-07-11T20:02:28.787533+00:00,50,50,suspicious,5,,,
test_01,sample,2026-07-11T20:02:31.827485+00:00,50,50,suspicious,5,,,
test_01,sample,2026-07-11T20:02:34.854886+00:00,50,50,suspicious,5,,,
test_01,sample,2026-07-11T20:02:37.877837+00:00,50,50,suspicious,5,,,
test_01,sample,2026-07-11T20:02:40.896457+00:00,50,50,suspicious,5,,,
test_01,summary,2026-07-11T20:02:41.897593+00:00,50,50,suspicious,5,suspicious,suspicious,False
test_01,sample,2026-07-11T20:04:52.330534+00:00,50,50,suspicious,5,,,
test_01,sample,2026-07-11T20:04:55.352860+00:00,50,50,suspicious,5,,,
test_01,sample,2026-07-11T20:04:58.366019+00:00,50,50,suspicious,5,,,
test_01,sample,2026-07-11T20:05:01.377642+00:00,50,50,suspicious,5,,,
test_01,sample,2026-07-11T20:05:04.396186+00:00,50,50,suspicious,5,,,
test_01,summary,2026-07-11T20:05:05.396888+00:00,50,50,suspicious,5,suspicious,suspicious,False
bonafide_01,sample,2026-07-12T07:41:27.839523+00:00,50,50,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:41:30.869723+00:00,50,50,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:41:33.899045+00:00,50,50,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:41:36.928720+00:00,50,50,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:41:39.944093+00:00,50,50,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:41:42.956869+00:00,50,50,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:41:45.971744+00:00,50,50,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:41:49.001429+00:00,50,50,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:41:52.019756+00:00,50,50,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:41:55.031046+00:00,50,50,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:41:58.068737+00:00,50,50,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:42:01.097813+00:00,50,50,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:42:04.134686+00:00,50,50,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:42:07.148911+00:00,50,50,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:42:10.182606+00:00,50,50,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:42:13.201123+00:00,50,50,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:42:16.228915+00:00,50,50,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:42:19.262659+00:00,50,50,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:42:22.285230+00:00,50,50,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:42:25.311680+00:00,50,50,suspicious,5,,,
bonafide_01,summary,2026-07-12T07:42:26.312838+00:00,50,50,suspicious,5,suspicious,suspicious,False
bonafide_01,sample,2026-07-12T07:54:46.305148+00:00,56,53,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:54:49.325315+00:00,56,54,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:54:52.353235+00:00,56,55,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:54:55.366538+00:00,56,55,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:54:58.385497+00:00,56,55,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:55:01.415719+00:00,56,56,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:55:04.439290+00:00,56,56,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:55:07.459418+00:00,56,56,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:55:10.967499+00:00,56,56,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:55:14.098590+00:00,56,56,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:55:17.131282+00:00,56,56,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:55:20.163187+00:00,56,56,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:55:23.193459+00:00,56,56,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:55:26.228513+00:00,56,56,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:55:29.247006+00:00,56,56,suspicious,5,,,
bonafide_01,sample,2026-07-12T07:55:32.283764+00:00,35,50,fraud,1,,,
bonafide_01,sample,2026-07-12T07:55:35.311671+00:00,35,42,fraud,5,,,
bonafide_01,sample,2026-07-12T07:55:38.328418+00:00,35,40,fraud,5,,,
bonafide_01,sample,2026-07-12T07:55:41.359122+00:00,35,39,fraud,5,,,
bonafide_01,sample,2026-07-12T07:55:44.400010+00:00,35,37,fraud,5,,,
bonafide_01,summary,2026-07-12T07:55:45.401377+00:00,35,37,fraud,5,fraud,fraud,False
bonafide_01,sample,2026-07-12T07:56:04.217825+00:00,35,36,fraud,5,,,
bonafide_01,sample,2026-07-12T07:56:07.246143+00:00,30,33,fraud,1,,,
bonafide_01,sample,2026-07-12T07:56:10.257600+00:00,30,32,fraud,5,,,
bonafide_01,sample,2026-07-12T07:56:13.285370+00:00,30,31,fraud,5,,,
bonafide_01,sample,2026-07-12T07:56:16.314832+00:00,30,31,fraud,5,,,
bonafide_01,sample,2026-07-12T07:56:19.346395+00:00,30,31,fraud,5,,,
bonafide_01,sample,2026-07-12T07:56:22.375540+00:00,30,31,fraud,5,,,
bonafide_01,sample,2026-07-12T07:56:25.410451+00:00,30,30,fraud,5,,,
bonafide_01,sample,2026-07-12T07:56:28.439554+00:00,30,30,fraud,5,,,
bonafide_01,sample,2026-07-12T07:56:31.471769+00:00,30,30,fraud,5,,,
bonafide_01,sample,2026-07-12T07:56:34.481866+00:00,30,30,fraud,5,,,
bonafide_01,sample,2026-07-12T07:56:37.511072+00:00,30,30,fraud,5,,,
bonafide_01,sample,2026-07-12T07:56:40.534322+00:00,34,32,fraud,1,,,
bonafide_01,sample,2026-07-12T07:56:43.561885+00:00,34,33,fraud,5,,,
bonafide_01,sample,2026-07-12T07:56:46.596749+00:00,34,33,fraud,5,,,
bonafide_01,sample,2026-07-12T07:56:49.616584+00:00,34,33,fraud,5,,,
bonafide_01,sample,2026-07-12T07:56:52.642035+00:00,34,34,fraud,5,,,
bonafide_01,sample,2026-07-12T07:56:55.660389+00:00,34,34,fraud,5,,,
bonafide_01,sample,2026-07-12T07:56:58.675548+00:00,34,34,fraud,5,,,
bonafide_01,sample,2026-07-12T07:57:01.682763+00:00,34,34,fraud,5,,,
bonafide_01,summary,2026-07-12T07:57:02.684016+00:00,34,34,fraud,5,fraud,fraud,False
bonafide_01,sample,2026-07-12T08:06:05.730735+00:00,34,34,fraud,5,,,
bonafide_01,sample,2026-07-12T08:06:08.740078+00:00,34,34,fraud,5,,,
bonafide_01,sample,2026-07-12T08:06:11.786606+00:00,34,34,fraud,5,,,
bonafide_01,sample,2026-07-12T08:06:14.803395+00:00,34,34,fraud,5,,,
